Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,Strength,clusters
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.98611076,0
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.88736576,0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.26953526,0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.05277999,0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.2960751,0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.02984744,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.6982994,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.44776979,0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.85429086,0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.28978986,0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.07424367,0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.02168359,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01296026,0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.32693164,0
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.81378165,0
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.90831981,0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.35804798,0
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.14196225,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.56325203,0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.62064842,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.8367142,0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.23748958,0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3.0,8.06342182,0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.20782217,0
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.51669744,0
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.30063166,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15137506,0
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.1243856,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.42751518,0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.60376124,0
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.26012245,0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.90831981,0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180.0,41.71950328,0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270.0,42.13112046,0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.69225402,0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.40795006,0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.07976945,0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.72192144,0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90.0,42.22902605,0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.2519586,0
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.45930106,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.6982994,0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,38.99538361,0
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180.0,53.104131,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.54299743,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.07640202,0
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3.0,15.04919265,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.75906322,0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,26.25800398,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.82319446,0
