Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,Strength
167,75.4,167,164.03,7.91,1007.3,770.1,3,15.52010476
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3,15.81657944
190.34,0,125.18,166.61,9.88,1079,798.9,3,12.5484632
250,0,95.69,191.84,5.33,948.9,857.2,3,8.48744956
213.5,0,174.24,159.21,11.66,1043.6,771.9,3,15.60973664
194.68,0,100.52,170.17,7.48,998,901.8,3,12.17614616
251.37,0,118.27,192.94,5.75,1043.6,754.3,3,11.98309288
165,0.02,143.57,163.81,0,1005.6,900.9,14,16.87837248
165,128.5,132.1,175.06,8.08,1005.8,746.6,14,33.08795324
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14,34.23937816
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,14,31.81242264
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,14,29.7508894
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,14,33.00521612
167,75.4,167,164.03,7.91,1007.3,770.1,14,32.90179472
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,14,29.55094136
190.34,0,125.18,166.61,9.88,1079,798.9,14,19.41564416
250,0,95.69,191.84,5.33,948.9,857.2,14,24.65566176
213.5,0,174.24,159.21,11.66,1043.6,771.9,14,29.59230992
194.68,0,100.52,170.17,7.48,998,901.8,14,24.28334472
251.37,0,118.27,192.94,5.75,1043.6,754.3,14,20.72564856
165,0.02,143.57,163.81,0,1005.6,900.9,28,26.200088
165,128.5,132.1,175.06,8.08,1005.8,746.6,28,46.38794528
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,28,39.1622368
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,28,41.20308576
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28,33.68779736
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,28,38.20386516
167,75.4,167,164.03,7.91,1007.3,770.1,28,41.40992856
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28,37.81086384
190.34,0,125.18,166.61,9.88,1079,798.9,28,24.84871504
250,0,95.69,191.84,5.33,948.9,857.2,28,27.22051248
213.5,0,174.24,159.21,11.66,1043.6,771.9,28,44.63667624
194.68,0,100.52,170.17,7.48,998,901.8,28,37.2661778
251.37,0,118.27,192.94,5.75,1043.6,754.3,28,33.27411176
