Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,Strength
212.07,0,121.62,180.31,5.69,1057.6,779.32,28,24.90387312
212.07,0,121.62,180.31,5.69,1057.6,779.32,56,34.20490436
212.07,0,121.62,180.31,5.69,1057.6,779.32,100,39.6103962
229.97,0,118.31,195.47,4.63,1029.4,758.59,3,10.0318758
229.97,0,118.31,195.47,4.63,1029.4,758.59,14,20.08443588
229.97,0,118.31,195.47,4.63,1029.4,758.59,28,24.48329276
229.97,0,118.31,195.47,4.63,1029.4,758.59,56,31.53663224
229.97,0,118.31,195.47,4.63,1029.4,758.59,100,35.34253976
190.34,0,125.18,161.85,9.88,1088.1,802.59,3,9.4458212
190.34,0,125.18,161.85,9.88,1088.1,802.59,14,22.7182342
190.34,0,125.18,161.85,9.88,1088.1,802.59,28,28.46846404
190.34,0,125.18,161.85,9.88,1088.1,802.59,56,38.56239268
190.34,0,125.18,161.85,9.88,1088.1,802.59,100,40.38950408
166.09,0,163.27,176.46,4.49,1058.6,780.09,3,10.76272036
166.09,0,163.27,176.46,4.49,1058.6,780.09,14,25.48303296
166.09,0,163.27,176.46,4.49,1058.6,780.09,28,21.53923024
166.09,0,163.27,176.46,4.49,1058.6,780.09,56,28.62704352
166.09,0,163.27,176.46,4.49,1058.6,780.09,100,33.5430074
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3,7.74971024
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14,17.8229546
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28,24.24197616
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,32.8535314
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100,39.2311844
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3,17.9953236
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14,30.38520732
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28,45.70536404
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56,50.77301264
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100,53.90323368
213.76,98.06,24.52,181.74,6.65,1066,785.52,3,13.18278112
213.76,98.06,24.52,181.74,6.65,1066,785.52,14,17.83674412
213.76,98.06,24.52,181.74,6.65,1066,785.52,28,40.2309246
213.76,98.06,24.52,181.74,6.65,1066,785.52,56,47.13257936
213.76,98.06,24.52,181.74,6.65,1066,785.52,100,49.97322048
229.68,0,118.16,195.23,6.13,1028.1,757.63,3,13.35515012
229.68,0,118.16,195.23,6.13,1028.1,757.63,14,22.31833812
229.68,0,118.16,195.23,6.13,1028.1,757.63,28,24.53845084
229.68,0,118.16,195.23,6.13,1028.1,757.63,56,31.35047372
229.68,0,118.16,195.23,6.13,1028.1,757.63,100,40.85834776
238.05,0,94.11,186.66,7,949.91,847.01,3,19.93275116
238.05,0,94.11,186.66,7,949.91,847.01,14,25.68987576
238.05,0,94.11,186.66,7,949.91,847.01,28,30.2335226
238.05,0,94.11,186.66,7,949.91,847.01,56,39.58971192
238.05,0,94.11,186.66,7,949.91,847.01,100,44.298833
250,0,95.69,187.42,5.53,956.86,861.17,3,13.81709904
250,0,95.69,187.42,5.53,956.86,861.17,14,24.91766264
250,0,95.69,187.42,5.53,956.86,861.17,28,29.21999288
250,0,95.69,187.42,5.53,956.86,861.17,56,38.32797084
250,0,95.69,187.42,5.53,956.86,861.17,100,42.34761592
212.52,0,100.37,159.32,8.71,1007.8,903.59,3,13.54130864
212.52,0,100.37,159.32,8.71,1007.8,903.59,14,26.31040416
212.52,0,100.37,159.32,8.71,1007.8,903.59,28,31.64005364
212.52,0,100.37,159.32,8.71,1007.8,903.59,56,42.54756396
212.52,0,100.37,159.32,8.71,1007.8,903.59,100,42.919881
212.57,0,100.39,159.35,10.37,1003.8,903.79,3,13.33446584
212.57,0,100.39,159.35,10.37,1003.8,903.79,14,25.3727168
212.57,0,100.39,159.35,10.37,1003.8,903.79,28,37.404073
212.57,0,100.39,159.35,10.37,1003.8,903.79,56,44.39535964
212.57,0,100.39,159.35,10.37,1003.8,903.79,100,47.73931824
212,0,124.78,159,7.84,1085.4,799.54,3,19.51906556
212,0,124.78,159,7.84,1085.4,799.54,14,31.35047372
212,0,124.78,159,7.84,1085.4,799.54,28,38.50033984
212,0,124.78,159,7.84,1085.4,799.54,56,45.08483564
212,0,124.78,159,7.84,1085.4,799.54,100,47.8151606
231.75,0,121.62,173.96,6.72,1056.4,778.45,3,15.43736764
231.75,0,121.62,173.96,6.72,1056.4,778.45,14,26.77235308
231.75,0,121.62,173.96,6.72,1056.4,778.45,28,33.72916592
231.75,0,121.62,173.96,6.72,1056.4,778.45,56,42.69924868
231.75,0,121.62,173.96,6.72,1056.4,778.45,100,45.83636448
251.37,0,118.27,188.45,5.75,1028.4,757.73,3,17.22311048
251.37,0,118.27,188.45,5.75,1028.4,757.73,14,29.93015316
251.37,0,118.27,188.45,5.75,1028.4,757.73,28,29.65436276
251.37,0,118.27,188.45,5.75,1028.4,757.73,56,36.96970312
251.37,0,118.27,188.45,5.75,1028.4,757.73,100,43.58177796
251.37,0,118.27,188.45,6.35,1028.4,757.73,3,13.12072828
251.37,0,118.27,188.45,6.35,1028.4,757.73,14,24.42813468
251.37,0,118.27,188.45,6.35,1028.4,757.73,28,32.66047812
251.37,0,118.27,188.45,6.35,1028.4,757.73,56,36.63875464
251.37,0,118.27,188.45,6.35,1028.4,757.73,100,44.20920112
181.38,0,167.01,169.59,7.56,1055.6,777.8,3,13.62404576
181.38,0,167.01,169.59,7.56,1055.6,777.8,14,21.60128308
181.38,0,167.01,169.59,7.56,1055.6,777.8,28,27.77209328
181.38,0,167.01,169.59,7.56,1055.6,777.8,56,35.57006684
181.38,0,167.01,169.59,7.56,1055.6,777.8,100,45.3675208
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3,7.31534036
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14,21.50475644
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28,31.2677366
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56,43.49904084
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100,48.67011084
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,7.39807748
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14,23.5111316
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,31.11605188
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56,39.14844728
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,48.15300384
290.35,0,96.18,168.08,9.41,961.18,865,3,22.50449664
290.35,0,96.18,168.08,9.41,961.18,865,14,34.67374804
290.35,0,96.18,168.08,9.41,961.18,865,28,34.73580088
290.35,0,96.18,168.08,9.41,961.18,865,56,45.08483564
290.35,0,96.18,168.08,9.41,961.18,865,100,48.97348028
277.05,0,97.39,160.6,11.83,973.9,875.61,3,23.13881456
277.05,0,97.39,160.6,11.83,973.9,875.61,14,41.885667
277.05,0,97.39,160.6,11.83,973.9,875.61,28,48.28400428
277.05,0,97.39,160.6,11.83,973.9,875.61,56,51.03501352
277.05,0,97.39,160.6,11.83,973.9,875.61,100,55.6407132
