Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,clusters,PredictedStrength
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,28.0,0,24.777033
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,56.0,0,38.765896
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,100.0,0,43.240536
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,3.0,0,10.850317
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,14.0,0,20.615444
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,28.0,0,27.693705
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,56.0,0,38.996574
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,100.0,0,44.412952
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,3.0,0,13.8072405
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,14.0,0,26.335278
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,28.0,0,30.996061
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,56.0,0,39.10344
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,100.0,0,42.125923
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,3.0,0,14.226411
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,14.0,0,22.077091
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,28.0,0,25.701965
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,56.0,0,38.538036
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,100.0,0,40.177685
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3.0,0,20.803415
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14.0,0,28.072056
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28.0,0,44.560184
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56.0,0,47.23574
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100.0,0,50.552555
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3.0,0,15.269415
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14.0,0,27.752605
